id,shortDescription,description,categories,gender,imageUrl,brandName,seasonCode,materials,colors,path,x_overlap,y_overlap,category,encoded_category,x,y
20934097,quilted layered wool coat,"quilted layered wool coat from sacai featuring light beige, wool, layered design, padded panels, quilted panels, throat latch, epaulettes, rounded collar, funnel neck, double-breasted button fastening, concealed front fastening, long sleeves, belted cuffs, belted waist, two side welt pockets, side press-stud fastening, inverted pleat, straight hem and mid-length.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/20/93/40/97/20934097_50966688_54.jpg,sacai,AW23,"Nylon, Cupro, Polyester, Wool, Cupro","Brown, 651 BEIGE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20934097.jpg,13.624781,6.2513337,Coats,0,98.83526812,44.82952021
18958106,Hooded down jacket,"Hooded down jacket from HERNO featuring navy blue, virgin wool blend, feather down, padded design, high neck, drawstring hood, front zip fastening, long sleeves, cuff zips and slip pockets to the sides.","Women, Clothing, Coats, Parkas",Woman,https://cdn-images.farfetch-contents.com/18/95/81/06/18958106_41273958_54.jpg,Herno,AW22,"Polyamide, Virgin Wool, Polyamide, Feather Down","Blue, 9200 NAVY",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/18958106.jpg,13.076324,5.4203434,Coats,0,91.83526812,37.82952021
17915246,logo patch single-breasted coat,"logo patch single-breasted coat from Golden Goose featuring navy blue, virgin wool blend, V-neck, notched collar, front button and zip fastening, long sleeves, logo patch at the sleeve and mid-length.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/17/91/52/46/17915246_40727049_54.jpg,Golden Goose,AW23,"Polyamide, Cupro, Viscose, Virgin Wool","Blue, 50486 DARK BLUE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/17915246.jpg,13.142246,1.533081,Coats,0,93.83526812,12.82952021
18658922,double-breasted wool coat,"double-breasted wool coat from Balmain featuring brown, wool, wide notch lapels, fitted waistline, embossed gold-tone buttons, double-breasted button fastening, long sleeves, straight hem, above-knee length, two side flap pockets and rear slit.","Women, Clothing, Coats, Double Breasted & Peacoats",Woman,https://cdn-images.farfetch-contents.com/18/65/89/22/18658922_40969644_54.jpg,Balmain,AW23,Wool,"Brown, 8KC",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/18658922.jpg,13.172312,2.2976713,Coats,0,93.83526812,16.82952021
21256100,double-breasted cashmere coat,"double-breasted cashmere coat from DUSAN featuring charcoal grey, cashmere, peak lapels, faux double-breasted front, long sleeves, two side patch pockets, mid-calf length and straight hem.","Women, Clothing, Coats, Double Breasted & Peacoats",Woman,https://cdn-images.farfetch-contents.com/21/25/61/00/21256100_51220268_54.jpg,Dusan,AW23,Cashmere,"Black, Grey, CHARCOLE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/21256100.jpg,13.320869,1.6280304,Coats,0,95.83526812,12.82952021
21119012,Chasuble sleeveless layered coat,"Chasuble sleeveless layered coat from PLAN C featuring layered design, quilted, V-neck, sleeveless, front zip fastening, belted waist, two front pouch pockets, straight hem, brown and black.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/21/11/90/12/21119012_51168525_54.jpg,Plan C,AW23,"Wool, Polyester, Cotton, Polyamide, Polyester","Brown, Black, R0N99 CAMEL AND BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/21119012.jpg,13.393609,5.3398514,Coats,0,93.83526812,36.82952021
20472162,patterned-jacquard long cape,"patterned-jacquard long cape from ETRO featuring light beige, mohair-wool blend, patterned jacquard, high neck, striped border and fringed edge.","Women, Clothing, Coats, Capes",Woman,https://cdn-images.farfetch-contents.com/20/47/21/62/20472162_50746896_54.jpg,ETRO,AW23,"Wool, Mohair, Polyamide","White, Multicolour, 0250",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20472162.jpg,12.706937,3.3132567,Coats,0,87.83526811999998,24.82952021
20471984,long puffer coat,light beige feather down padded design classic hood press-stud fastening collar long sleeves front zip fastening two side flap pockets elasticated cuffs short side slits straight hem calf-length,"Women, Clothing, Coats, Oversized Coats",Woman,https://cdn-images.farfetch-contents.com/20/47/19/84/20471984_50980345_54.jpg,Brunello Cucinelli,AW23,"Polyester, Cotton, Polyamide, Polyester, Feather Down, Nylon","Grey, C7958 - DOVE GREY",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20471984.jpg,13.563623,6.415029,Coats,0,97.83526812,45.82952021
19414491,shawl-lapel coat,"Elephant grey shawl-lapel coat from TOTEME featuring wool-cashmere blend, shawl lapels and long sleeves.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/19/41/44/91/19414491_42767098_54.jpg,TOTEME,SS23,"Wool, Cashmere, Polyester, Viscose","Neutrals, 311 ELEPHANT",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19414491.jpg,13.278921,2.6206493,Coats,0,92.83526812,20.82952021
19537795,belted double-breasted trench coat,"belted double-breasted trench coat from HERNO featuring camel brown, cotton, gold-tone hardware, classic collar, double-breasted button fastening, belted waist, long sleeves, belted cuffs, mid-length, two side welt pockets, storm flap and rear slit.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/19/53/77/95/19537795_43690010_54.jpg,Herno,AW23,Cotton,"Brown, 2000 BEIGE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19537795.jpg,13.9982815,3.0570846,Coats,0,98.83526812,24.82952021
