umap_0,umap_1
13.624781,6.2513337
13.076324,5.4203434
13.142246,1.533081
13.172312,2.2976713
13.320869,1.6280304
13.393609,5.3398514
12.706937,3.3132567
13.563623,6.415029
13.278921,2.6206493
13.9982815,3.0570846
12.448099,1.5366493
13.075094,1.536834
13.384358,6.0061855
7.188675,4.920672
14.192862,1.9078343
13.466698,3.5463786
13.510969,5.8382287
13.331482,1.4797332
12.895063,2.0897505
12.628475,6.129758
7.780142,4.7130117
12.73446,4.079848
13.034948,2.0690877
13.268286,6.1219263
12.680771,2.5121648
12.651274,4.738754
12.176714,2.933134
12.734595,3.2752638
13.373105,5.9558725
13.376737,2.923519
11.994131,3.2729483
12.921835,5.4869995
5.8579926,4.9247074
14.515597,2.4919202
13.445755,1.7139907
13.758421,3.1401072
12.758442,2.416695
13.55144,1.5478712
13.202662,2.2868168
12.7034855,3.8592093
12.944433,4.9243417
12.025549,4.158779
13.417154,6.5635853
12.162896,5.028745
13.350026,2.5009487
14.106095,3.0565224
12.193,1.4941791
12.738281,1.7944584
13.29155,5.7624145
14.470729,2.4596038
13.529548,1.7196465
12.796848,4.0362616
13.399146,5.8120356
14.160768,1.9396971
13.0337925,1.5021781
12.517796,2.1353145
4.8295116,6.4562235
13.301441,5.9104314
12.972461,1.3627946
12.560739,2.046221
14.467485,2.303491
12.762344,1.8219557
12.685086,1.8753424
13.472891,5.9782662
13.865379,3.1384165
13.175291,5.884059
13.669659,2.9933686
12.727102,3.2139735
11.717894,3.1742985
12.265727,1.5516174
12.690955,4.019629
12.742588,1.7985606
12.372374,1.4038163
13.108366,1.3107802
13.483136,5.8440256
13.473643,1.4866093
14.034387,3.0034776
13.0093,1.3269308
12.115786,1.4329051
13.936106,3.0475223
12.986665,5.49837
12.94684,5.0601945
12.98411,1.3949099
12.607528,2.3303156
13.056083,5.2688046
13.0994625,5.5166163
12.754265,3.2755558
13.029692,1.4455394
12.900424,1.9692105
13.298725,2.9600308
12.821948,2.8445866
13.269974,6.596044
4.674455,6.4852734
12.561991,5.102361
12.806427,3.287404
11.773242,1.7785912
12.496703,1.4627948
12.685535,4.0632863
14.518675,2.5774415
13.2853565,5.831543
14.538355,2.5365715
13.44956,5.5904155
14.244347,2.001915
13.773419,2.7908187
14.306615,2.907241
12.789768,2.2103467
12.857693,5.1200337
13.40254,6.5316033
14.562102,2.3789172
12.810331,5.3102555
14.400826,2.7412546
13.350876,6.591574
12.929512,1.3132572
13.0359955,1.7914312
13.027177,2.19782
12.006369,5.0391006
12.768237,4.062725
12.4753065,1.9544448
11.674313,3.5627096
13.604852,3.405438
12.478908,2.038865
13.129959,2.187732
13.209859,2.3794532
13.71276,3.2153041
12.794074,4.041771
13.783287,3.2328885
11.489419,1.3967865
7.5064645,4.558013
13.365611,6.5185037
13.274357,2.0412316
13.028516,2.5980933
13.191537,6.101682
13.988482,3.01227
12.671124,1.8947439
14.137338,2.940141
12.215884,2.9881248
12.10262,4.799076
13.454308,3.3291218
13.226703,1.436706
12.689329,4.1183968
11.913158,5.3900394
13.9174185,2.6553438
12.274817,3.0193822
7.5645227,4.691935
14.429347,2.6239135
13.915408,3.1107097
12.506696,4.557304
14.4173565,2.4468749
13.511256,2.9813619
13.651527,6.331482
13.057,1.9434612
13.547134,6.174661
13.9507265,2.0198796
13.986712,3.1287277
13.870942,3.128302
13.678753,1.7277148
12.940982,4.9830623
12.831305,3.9980717
13.258648,6.5329685
11.744289,4.8940415
12.850977,1.5902636
7.0777974,4.9568954
14.302923,2.9272535
12.176053,3.1324697
12.619169,2.5117126
12.920359,1.8686187
12.437672,2.9301548
12.724991,2.8953638
12.880016,1.9462498
12.683765,2.156896
5.7914753,5.1668267
13.441348,1.6739582
13.628165,6.4568586
12.858182,1.3081784
12.975408,2.6929872
13.425943,5.5800786
14.40046,2.1240141
13.570914,2.7376661
12.960578,1.3318424
13.513369,5.878599
12.656123,2.6996107
13.118261,6.640464
13.914204,3.1142874
12.864006,1.3021821
13.030571,6.413766
13.452344,1.5957716
13.347974,6.490906
13.248508,6.649105
12.954475,1.3833432
13.733284,2.9358356
13.708345,3.101433
13.438344,1.4767767
12.726168,2.8310897
14.531802,2.2990942
13.891127,6.309809
13.35754,6.609099
14.036652,2.8639321
13.406138,5.8672147
13.611615,6.1383452
13.303708,1.697226
12.364538,2.6987817
13.278455,1.5210694
13.377962,2.6723766
14.064467,3.0374138
13.805949,3.064606
12.504564,2.3981023
13.412112,2.4943514
13.017623,2.3719232
13.536598,1.6870475
11.28205,5.423471
13.279214,5.9229126
12.710177,2.4437666
12.900692,1.9799141
13.553865,5.832839
12.618567,2.3464706
12.9430275,4.9390526
12.731284,4.819576
12.583498,2.3472674
12.6913,5.1699
12.755151,4.0414243
11.531757,1.2922416
13.287386,1.5776603
13.906752,3.0899847
14.214335,1.9847611
13.476881,5.755839
13.130876,5.4609833
14.316672,2.8950438
12.356509,2.8378215
12.989667,5.712681
13.27719,6.0311365
12.723664,1.7798152
14.328769,2.8975558
13.144341,5.814563
12.224058,2.9292498
12.734521,3.2317784
13.504681,5.9240627
14.572859,2.400349
14.531134,2.5056438
14.348526,2.89608
12.724111,4.8256855
13.054461,2.049719
12.277855,1.4025892
13.532113,1.7630248
13.296572,2.6970975
14.457329,2.3483388
12.756779,4.0584745
12.831939,1.6574912
12.48308,5.853777
13.135128,2.151869
13.249855,3.6157422
12.235905,2.39034
13.351047,6.0180993
12.775718,1.7708791
7.1605463,4.944689
13.051995,1.4119569
13.933057,3.075368
13.920323,3.113707
13.191142,6.4221945
13.028549,6.138539
14.360149,2.8989158
13.511523,5.757003
12.772495,4.7004747
13.326833,6.5842366
12.229529,2.9384139
13.207136,5.1245413
13.884223,3.1656826
13.710091,2.8635159
12.59372,2.588661
13.566643,5.9238896
12.867496,1.7437404
13.345274,5.876066
13.144645,5.3024993
13.210309,6.5671115
12.336513,2.6457648
13.418618,2.657623
14.2193165,2.925458
12.796087,4.0248294
1.7969369,3.854511
12.784609,1.7070944
13.382849,6.560861
13.213997,1.420188
12.684909,1.5780027
14.152649,1.899363
14.257476,2.9387047
12.679208,2.5421462
13.035169,2.1665814
13.433463,2.33331
12.9946375,2.1741989
12.857082,1.5533735
13.534508,3.5011003
13.492756,6.0319624
13.617746,6.311417
12.882882,1.3674365
13.122706,2.3384266
13.160452,1.3829169
12.438109,3.2256968
13.534401,3.3209443
12.9223,2.2082517
13.764861,1.8913115
12.067383,1.4547703
14.138307,2.986781
13.263657,2.6918402
13.549535,5.823208
13.060297,4.959704
12.891897,1.3109897
4.5575366,2.5521135
12.842528,3.9845767
13.686119,5.780767
14.317779,2.8657336
13.517139,6.333101
13.131874,1.5801393
7.3032794,4.8655663
13.28269,1.4005747
12.501975,6.419488
13.90223,2.5654078
12.662585,2.5169919
13.903965,3.1450367
12.790876,2.5332382
12.559145,4.7589154
13.0209465,5.473426
13.940012,6.456178
12.615247,4.3551955
12.514175,2.5459464
14.024731,2.929251
13.273117,2.7024064
13.567414,2.5173602
13.727112,3.2377489
13.398423,5.6948166
12.83234,1.8169426
14.477466,2.439257
13.58383,1.7088448
13.30036,5.5111613
13.064308,2.281217
12.143019,4.930116
12.806857,4.016058
12.710141,4.062542
13.389545,6.551697
12.254064,2.8465986
12.609629,1.8883654
14.0921335,1.9423285
14.3375435,2.8806243
13.404924,2.564744
12.790208,4.022823
12.486931,3.035294
14.033889,1.8461936
13.741038,3.2235794
8.347304,4.4808373
12.0654,3.3764071
12.771307,5.855562
13.610778,2.4061956
12.492698,4.7927713
13.777617,3.1574843
11.966476,1.7892058
13.43999,5.810068
12.77316,4.045131
12.992159,1.3394619
13.998213,2.035792
12.773743,5.7824225
13.420642,2.7601528
12.592016,5.9653215
13.302655,5.928602
12.211749,2.2674978
13.072152,1.8993727
6.6412296,2.8285685
13.228723,5.263255
12.720438,1.7724271
13.607399,6.451054
9.264206,3.462497
13.257034,1.573501
13.413978,3.0658698
12.483749,1.7508286
12.685015,3.5437407
13.395534,1.7930712
12.696307,4.5469456
12.924738,1.3500267
13.229724,3.2317622
11.787181,6.7472105
13.218572,2.5692387
13.01024,1.3819115
12.536718,2.8576684
7.5696654,4.8673897
12.233281,4.92939
13.242457,1.5845137
13.92531,3.1631591
11.253684,2.996634
12.250955,3.0421355
14.166738,1.932542
12.964044,2.4157302
13.580149,1.6737139
4.6330495,6.5220513
12.295688,1.753728
12.820548,3.9812627
13.64604,2.85339
13.0942135,1.3928437
12.148122,3.0175729
12.833972,1.5092597
13.232946,5.2013373
13.161414,6.1048098
13.631267,3.397691
12.692394,2.580886
12.509605,2.4527273
12.909936,1.5123652
13.130868,1.6358751
7.2098136,4.388028
13.6775875,2.6248012
13.452091,2.6535795
13.043061,1.3023127
14.117187,1.9335388
12.827615,2.3216777
13.3644495,6.5634303
13.580837,5.7886405
4.6250134,6.5292025
